"package_lc","version","osv_id"
"github.com/cri-o/cri-o","1.29.0","GHSA-p4rx-7wvg-fwrc"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-pg7c-462j-grxv"
"github.com/quic-go/quic-go","0.40.0","GHSA-ppxx-5m9h-6vxf"
"github.com/1panel-dev/1panel","1.4.3","GHSA-pv7q-v9mv-9mh5"
"k8s.io/kubernetes","1.28.0","GHSA-q78c-gwqw-jcmc"
"github.com/cilium/cilium","1.16.0","GHSA-qcm3-7879-xcww"
"github.com/notaryproject/notation-go","1.3.0-rc.1","GHSA-qjh3-4j3h-vmwp"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-r5vf-grcx-5vqp"
"github.com/kubernetes-csi/csi-proxy/v2","2.0.0-alpha.0","GHSA-r6cc-7wj7-gfx2"
"github.com/patrickhener/goshs/v2","2.1.3","GHSA-rjrw-mjq6-hpmm"
"goshs.de/goshs/v2","2.1.3","GHSA-rjrw-mjq6-hpmm"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-rmvv-8v8w-rf7x"
"github.com/mattermost/mattermost/server/v8","8.1.0","GHSA-rp65-jpc7-8h8p"
"github.com/gotenberg/gotenberg/v8","8.29.1","GHSA-rqgh-gxv4-6657"
"github.com/hashicorp/nomad","1.5.0","GHSA-rqm8-q8j9-662f"
"github.com/mattermost/mattermost/server/v8","11.4.0","GHSA-vhgh-g7x8-4rx8"
"github.com/argoproj/argo-cd","1.5.0","GHSA-vj54-cjrx-x696"
"github.com/mattermost/mattermost-server","9.9.0","GHSA-vvpg-55p7-5h8w"
"github.com/cilium/cilium","1.16.0","GHSA-vwf8-q6fw-4wcm"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-w9m8-p4cc-4qj9"
"github.com/coder/coder/v2","2.16.0","GHSA-wcx9-ccpj-hx3c"
"github.com/argoproj/argo-cd/v3","3.2.0-rc1","GHSA-wp4p-9pxh-cgx2"
"github.com/grafana/grafana","11.4.0","GHSA-wxcc-2f3q-4h58"
"github.com/kubeedge/kubeedge","1.10.0","GHSA-x938-fvfw-7jh5"
"github.com/canonical/lxd","5.19.0","GHSA-x9qq-236j-gj97"
