"package_lc","version","osv_id"
"grunt-radic","0.1.1","GHSA-9p49-cwh3-4qhf"
"cline","2.3.0","GHSA-9ppg-jx86-fqw7"
"starkbank-ecdsa","1.1.2","GHSA-9wx7-jrvc-28mm"
"flatmap-stream","0.1.1","GHSA-9x64-5r7x-2q53"
"@fedify/fedify","1.0.13","GHSA-c59p-wq67-24wx"
"@jshookmcp/jshook","0.3.1","GHSA-c5r6-m4mr-8q5j"
"github-jquery-widgets","0.1.2","GHSA-c722-pv5w-cfg2"
"@impala/bmap","1.0.3","GHSA-c82c-8pjw-6829"
"dossier","0.0.4","GHSA-c8h6-89q2-mgv8"
"cofee-script","1.0.1","GHSA-c9rj-pgxv-84jc"
"compressing","2.0.0","GHSA-cc8f-xg8v-72m3"
"json-serializer","2.0.10","GHSA-chh2-rvhg-wqwr"
"basic-ftp","5.2.0","GHSA-chqc-8p9q-pq6q"
"glob-parent","6.0.0","GHSA-cj88-88mr-972w"
"vm2","3.10.5","GHSA-cp6g-6699-wx9c"
"jikes","0.0.1","GHSA-cpp2-q66x-fq44"
"@commercial/subtext","5.1.1","GHSA-cvfm-xjc8-f2vm"
"oauth-validator","1.0.2","GHSA-cxcf-78mr-wpg7"
"eslint-config-prettier","8.10.1","GHSA-f29h-pxvx-f335"
"synckit","0.11.9","GHSA-f29h-pxvx-f335"
"@pkgr/core","0.2.8","GHSA-f29h-pxvx-f335"
"napi-postinstall","0.3.1","GHSA-f29h-pxvx-f335"
"mysql","2.17.1","GHSA-f982-mxwc-3mrx"
"kraken-api","0.1.8","GHSA-fgfj-rj24-mj7q"
"h3","2.0.1-rc.17","GHSA-fp4x-ggrf-wmc6"
"is-arrayish","0.3.3","GHSA-frh7-2f84-v9mw"
"react-server-dom-webpack","19.0.0","GHSA-fv66-9v8q-g76r"
"react-server-dom-turbopack","19.0.0","GHSA-fv66-9v8q-g76r"
"react-server-dom-parcel","19.0.0","GHSA-fv66-9v8q-g76r"
"fuxa-server","1.3.0","GHSA-fwcm-rqvw-j3p7"
"react-server-native","0.0.7","GHSA-fwvp-x5gj-773j"
"morris.js","0.5.0","GHSA-fwx5-5fqj-jv98"
"uploader-plugin","1.0.2","GHSA-fx6f-fpfv-5hmc"
"rc","1.2.9","GHSA-g2q5-5433-rhrf"
"@tdurieux/anonymous_github","2.2.0","GHSA-g485-8j3v-p6x8"
"@tanstack/arktype-adapter","1.166.12","GHSA-g7cv-rxg3-hmpx"
"@tanstack/eslint-plugin-router","1.161.9","GHSA-g7cv-rxg3-hmpx"
"@tanstack/eslint-plugin-start","0.0.4","GHSA-g7cv-rxg3-hmpx"
"@tanstack/history","1.161.9","GHSA-g7cv-rxg3-hmpx"
"@tanstack/nitro-v2-vite-plugin","1.154.12","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-router","1.169.5","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-router-devtools","1.166.16","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-router-ssr-query","1.166.15","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-start","1.167.68","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-start-client","1.166.51","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-start-rsc","0.0.47","GHSA-g7cv-rxg3-hmpx"
"@tanstack/react-start-server","1.166.55","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-cli","1.166.46","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-core","1.169.5","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-devtools","1.166.16","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-devtools-core","1.167.6","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-generator","1.166.45","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-plugin","1.167.38","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-ssr-query-core","1.168.3","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-utils","1.161.11","GHSA-g7cv-rxg3-hmpx"
"@tanstack/router-vite-plugin","1.166.53","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-router","1.169.5","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-router-devtools","1.166.16","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-router-ssr-query","1.166.15","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-start","1.167.65","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-start-client","1.166.50","GHSA-g7cv-rxg3-hmpx"
"@tanstack/solid-start-server","1.166.54","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-client-core","1.168.5","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-fn-stubs","1.161.9","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-plugin-core","1.169.23","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-server-core","1.167.33","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-static-server-functions","1.166.44","GHSA-g7cv-rxg3-hmpx"
"@tanstack/start-storage-context","1.166.38","GHSA-g7cv-rxg3-hmpx"
"@tanstack/valibot-adapter","1.166.12","GHSA-g7cv-rxg3-hmpx"
"@tanstack/virtual-file-routes","1.161.10","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-router","1.169.5","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-router-devtools","1.166.16","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-router-ssr-query","1.166.15","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-start","1.167.61","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-start-client","1.166.46","GHSA-g7cv-rxg3-hmpx"
"@tanstack/vue-start-server","1.166.50","GHSA-g7cv-rxg3-hmpx"
"@tanstack/zod-adapter","1.166.12","GHSA-g7cv-rxg3-hmpx"
"@airvertco/frappejs","0.0.11","GHSA-gc7m-596h-x57r"
"@akbr/patch-into","1.0.1","GHSA-gh4x-qv3p-m9pm"
"leaflet-gpx","1.0.1","GHSA-gjc9-932x-c59p"
"yauzl","3.2.0","GHSA-gmq8-994r-jv83"
